CNPJ_CIA,DT_REFER,VERSAO,DENOM_CIA,CD_CVM,GRUPO_DFP,MOEDA,ESCALA_MOEDA,ORDEM_EXERC,DT_FIM_EXERC,CD_CONTA,DS_CONTA,VL_CONTA,ST_CONTA_FIXA
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2016-12-31,2.08.04.08,Dividendo Adicional Proposto,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2015-12-31,2.08.04.09,Ações em Tesouraria,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2016-12-31,2.08.04.09,Ações em Tesouraria,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2015-12-31,2.08.05,Lucros/Prejuízos Acumulados,-1320444.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2016-12-31,2.08.05,Lucros/Prejuízos Acumulados,-2513647.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2015-12-31,2.08.06,Ajustes de Avaliação Patrimonial,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2016-12-31,2.08.06,Ajustes de Avaliação Patrimonial,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2015-12-31,2.08.07,Ajustes Acumulados de Conversão,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2016-12-31,2.08.07,Ajustes Acumulados de Conversão,0.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2015-12-31,2.08.08,Outros Resultados Abrangentes,-17162218.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2016-12-31,2.08.08,Outros Resultados Abrangentes,-17609319.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2015-12-31,2.08.09,Participação dos Acionistas Não Controladores,3672743.0,S
00.000.000/0001-91,2016-12-31,3,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2016-12-31,2.08.09,Participação dos Acionistas Não Controladores,3700453.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2,Passivo Total,1387215686.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2,Passivo Total,1353075042.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.01,Passivos Financeiros para Negociação,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.01,Passivos Financeiros para Negociação,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.02,Outros Passivos Financeiros ao Valor Justo no Resultado,2234846.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.02,Outros Passivos Financeiros ao Valor Justo no Resultado,789887.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.03,Passivos Financeiros ao Custo Amortizado,1189577620.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.03,Passivos Financeiros ao Custo Amortizado,1164950712.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.03.01,Depósitos de Clientes,425315886.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.03.01,Depósitos de Clientes,426076603.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.03.02,Valores a Pagar a Instituições Financeiras,21276934.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.03.02,Valores a Pagar a Instituições Financeiras,24649124.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.03.03,Obrigações por Operações Compromissadas,374634032.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.03.03,Obrigações por Operações Compromissadas,376242695.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.03.04,Obrigações por emissão de títulos e valores mobiliários e outras obrigações,368350768.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.03.04,Obrigações por emissão de títulos e valores mobiliários e outras obrigações,337982290.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.04,Provisões,9562939.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.04,Provisões,9600351.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.05,Passivos Fiscais,8843301.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.05,Passivos Fiscais,5434568.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.05.01,Passivos por Impostos Correntes,5946803.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.05.01,Passivos por Impostos Correntes,2365251.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.05.02,Passivos por Impostos Diferidos,2896498.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.05.02,Passivos por Impostos Diferidos,3069317.0,N
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.06,Outros Passivos,86920287.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.06,Outros Passivos,71061096.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.07,Passivos sobre Ativos Não Correntes a Venda e Descontinuados,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.07.01,Passivos sobre Ativos Não Correntes a Venda,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.07.02,Passivos sobre Ativos de Operações Descontinuadas,0.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.08,Patrimônio Líquido Consolidado,90076693.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,ÚLTIMO,2017-12-31,2.08,Patrimônio Líquido Consolidado,101238428.0,S
00.000.000/0001-91,2017-12-31,2,BCO BRASIL S.A.,1023,DF Consolidado - Balanço Patrimonial Passivo,REAL,MIL,PENÚLTIMO,2016-12-31,2.08.01,Capital Social Realizado,75100000.0,S
